,K,alpha,k,accuracy,precision,recall,n,unsure,time_pca,time_knn,p
0,3.0,13.0,20.0,0.9314534273286336,0.9261461339881509,0.9264237816144979,20000.0,0.0,189569236013.0,124461285561.0,0.0
1,3.0,13.0,20.0,0.9232038398080096,0.9187473329954337,0.9169922048056987,20000.0,0.0,219219002561.0,124287762203.0,0.0
2,3.0,13.0,20.0,0.9354935493549354,0.9320210215799034,0.9302853415686856,20000.0,0.0,216569155729.0,124363623678.0,0.0
3,3.0,13.0,20.0,0.9314534273286336,0.9261461339881509,0.9264237816144979,20000.0,0.0,186585671302.0,124057041944.0,0.1
4,3.0,13.0,20.0,0.9232038398080096,0.9187473329954337,0.9169922048056987,20000.0,0.0,227309307584.0,124495914859.0,0.1
5,3.0,13.0,20.0,0.9354935493549354,0.9320210215799034,0.9302853415686856,20000.0,0.0,218452071923.0,124279003795.0,0.1
6,3.0,13.0,20.0,0.9314534273286336,0.9261461339881509,0.9264237816144979,20000.0,0.0,183693306728.0,124428325182.0,0.2
7,3.0,13.0,20.0,0.9232038398080096,0.9187473329954337,0.9169922048056987,20000.0,0.0,218985955872.0,124750332960.0,0.2
8,3.0,13.0,20.0,0.9354935493549354,0.9320210215799034,0.9302853415686856,20000.0,0.0,216483755770.0,124259920553.0,0.2
9,3.0,13.0,20.0,0.9311534423278836,0.9317630524993483,0.9306928185215041,20000.0,0.0008999550022498875,187671572608.0,124437140488.0,0.30000000000000004
10,3.0,13.0,20.0,0.9227538623068846,0.9236890286273024,0.9220544893280822,20000.0,0.0014999250037498126,220889674433.0,124344683185.0,0.30000000000000004
11,3.0,13.0,20.0,0.9351935193519352,0.9361314975288215,0.9344726609507342,20000.0,0.00105010501050105,222155338348.0,124515805481.0,0.30000000000000004
12,3.0,13.0,20.0,0.9269536523173841,0.9364128759481016,0.9264023524004716,20000.0,0.010349482525873706,186127422577.0,124746374774.0,0.4
13,3.0,13.0,20.0,0.9203539823008849,0.9292886596005827,0.9195930164369008,20000.0,0.010049497525123744,220039766577.0,124325745683.0,0.4
14,3.0,13.0,20.0,0.930993099309931,0.9411716958221088,0.9302437549597569,20000.0,0.010801080108010801,212414357906.0,124561007020.0,0.4
15,3.0,13.0,20.0,0.9146542672866357,0.9489502037421069,0.9139251812675765,20000.0,0.03644817759112044,186071240559.0,124641641543.0,0.5
16,3.0,13.0,20.0,0.9083545822708865,0.9404469141153526,0.907405953717468,20000.0,0.034498275086245686,218171685571.0,124386850477.0,0.5
17,3.0,13.0,20.0,0.9173417341734174,0.9502454412409671,0.9164152566270506,20000.0,0.034503450345034506,216210238841.0,124401139434.0,0.5
18,3.0,13.0,20.0,0.8831558422078896,0.9654626741314922,0.8818986467500514,20000.0,0.08564571771411429,186691935466.0,124760926941.0,0.6000000000000001
19,3.0,13.0,20.0,0.8788060596970152,0.96025195949728,0.8773350015069628,20000.0,0.08519574021298935,223089199155.0,124386367477.0,0.6000000000000001
20,3.0,13.0,20.0,0.8888388838883888,0.9656221240829564,0.8874292058081894,20000.0,0.07935793579357936,217824324350.0,124513232275.0,0.6000000000000001
21,3.0,13.0,20.0,0.8429578521073946,0.9783417120974385,0.840802839056618,20000.0,0.1385930703464827,186644160631.0,124519521465.0,0.7000000000000001
22,3.0,13.0,20.0,0.8374081295935203,0.9757927412648375,0.8350694711176245,20000.0,0.14219289035548222,225349823918.0,124440894543.0,0.7000000000000001
23,3.0,13.0,20.0,0.8471347134713472,0.9765416478772281,0.8450308131614908,20000.0,0.1326132613261326,214755852229.0,124589251001.0,0.7000000000000001
24,3.0,13.0,20.0,0.7892605369731513,0.9867719175662636,0.7861639826461067,20000.0,0.20038998050097495,185051514449.0,124551904446.0,0.8
25,3.0,13.0,20.0,0.783710814459277,0.9894010766339445,0.7804681363103299,20000.0,0.20788960551972402,225220566137.0,124480446026.0,0.8
26,3.0,13.0,20.0,0.7937293729372937,0.984893298015213,0.7907311865891371,20000.0,0.19426942694269428,216543920950.0,124670394349.0,0.8
27,3.0,13.0,20.0,0.7048147592620368,0.994240350907803,0.7000651116431243,20000.0,0.2912854357282136,184123119656.0,124532018963.0,0.9
28,3.0,13.0,20.0,0.7033148342582871,0.994587661055155,0.6986012604526879,20000.0,0.2926353682315884,213492796214.0,124541500335.0,0.9
29,3.0,13.0,20.0,0.7101710171017102,0.9928591523234601,0.7056212319305231,20000.0,0.28457845784578456,215040209422.0,124551359688.0,0.9
30,3.0,13.0,20.0,0.5131243437828109,0.9984135790099142,0.5051621452897959,20000.0,0.48627568621568923,185188327817.0,124397087203.0,1.0
31,3.0,13.0,20.0,0.5167241637918104,0.9984674977391952,0.5091202119974432,20000.0,0.48207589620518976,224583681773.0,124721264696.0,1.0
32,3.0,13.0,20.0,0.5262526252625263,0.9954826367007925,0.5190733164528929,20000.0,0.4717971797179718,212477940693.0,124611253418.0,1.0
